date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude
10/7/2009 20:10,seattle,wa,us,other,10,10 sec,brief sighting of object with faint amber lights traveling over Seattle,12/12/2009,47.6063889,-122.3308333
11/11/1966 02:00,seattle,wa,us,disk,120,2 minutes,Driving around after swingshift to relax. Drove by familiar watertower; a red&#44 flashing light caught my eye--to bright for the tower li,2/16/1999,47.6063889,-122.3308333
11/11/2011 03:30,seattle,wa,us,light,900,10-15 min,5 red lights flying north,12/12/2011,47.6063889,-122.3308333
1/11/2004 16:00,seattle,wa,us,oval,20,20 seconds,Oval craft seen flying over Lake Washington on 01/11/04 at 4:00 pm.,1/17/2004,47.6063889,-122.3308333
11/1/2006 12:57,seattle,wa,us,other,600,10 minutes,Fighter type UFO over Seattle details on its shape clearly visible with ordinary binoculars,12/7/2006,47.6063889,-122.3308333
11/1/2012 20:45,seattle,wa,us,light,120,<2 minutes,Lights heading for a collision in the sky over Seattle,11/19/2012,47.6063889,-122.3308333
11/12/1997 17:30,seattle,wa,us,light,8,8 seconds,Looked up in the sky in a S-SW direction.  Noticed 2 &quot;stars&quot; that were moving together at the same speed.  They traveled for about 3 se,1/28/1999,47.6063889,-122.3308333
11/12/2005 00:45,seattle,wa,us,other,3,3 seconds,Disc shaped&#44 blue and white coloured object slicing the sky very quickly.,12/16/2005,47.6063889,-122.3308333
11/14/1997 21:00,seattle,wa,us,formation,8,5-8 seconds,Siting at stop light on Alaskan Way&#44 heading west.  Streaks of lights came flying across the sky&#44 coming from over the Puget Sound.  Th,1/28/1999,47.6063889,-122.3308333
11/14/2011 20:05,seattle,wa,us,fireball,60,< 1 minute,Reddish/Orange light seen over Seattle&#44 WA,12/12/2011,47.6063889,-122.3308333
11/15/2008 18:20,seattle,wa,us,fireball,1800,25-30 minutes,Flaming ball moves slow and turns on a dime,12/12/2009,47.6063889,-122.3308333
11/15/2011 19:35,seattle,wa,us,sphere,2,2 seconds,Orange sphere appears and skirts across the sky,12/12/2011,47.6063889,-122.3308333
